job_id,job_title,job_type,record_type,parent_job_id,job_statement,persona,doc,evidence
,,consumption,,,"When I encounter an unfamiliar CLI command or Kubernetes resource, I want to use the built-in help system, so I can quickly find usage information and resource definitions without leaving the terminal.",Developer,cli_reference-combined.adoc,"Lines 2005-2089: Procedure covering oc help, oc <command> --help, and oc explain <resource> with examples"
,,related,,,"When I have finished working with the cluster, I want to log out of the OpenShift CLI, so I can end my session and ensure my authentication token is revoked.",Cluster administrator,cli_reference-combined.adoc,"Lines 2100-2125: Procedure for logging out via oc logout, noting that it deletes the saved auth token from both server and local config"
,,core,,,"When I have installed the OpenShift CLI, I want to configure it for my shell environment and cluster access, so I can work efficiently with tab completion, authentication, and persistent settings.",Developer,cli_reference-combined.adoc,"cli_reference-combined.adoc, lines 2126-2680 (Configuring the OpenShift CLI assembly including tab completion and kubeconfig access)"
,,consumption,,,"When I am using the OpenShift CLI in a Bash or Zsh shell, I want to enable tab completion, so I can auto-complete commands and flags without memorizing every option.",Developer,cli_reference-combined.adoc,"cli_reference-combined.adoc, lines 2540-2619 (Enabling tab completion for Bash at line 2553 and Zsh at line 2591)"
,,core,,,"When I need to access my OpenShift cluster from the command line or share cluster credentials, I want to export and configure a kubeconfig file, so I can authenticate to the cluster across sessions and machines.",Cluster administrator,cli_reference-combined.adoc,"cli_reference-combined.adoc, lines 2629-2680 (Accessing kubeconfig by using the oc CLI procedure)"
,,related,,,"When I am deciding which CLI tool to use for interacting with my OpenShift cluster, I want to understand the differences between oc and kubectl, so I can choose the right tool and leverage OpenShift-specific features when needed.",Developer,cli_reference-combined.adoc,"cli_reference-combined.adoc, lines 2683-3186 (Usage of oc and kubectl commands assembly, including The oc binary concept at line 3104 and The kubectl binary concept at line 3171)"
,,core,,,"When I work with multiple OpenShift clusters or user accounts, I want to manage CLI profiles and contexts, so I can switch between environments without losing configuration or re-entering credentials.",Cluster administrator,cli_reference-combined.adoc,"cli_reference-combined.adoc, lines 3187-3930 (Managing CLI profiles assembly including context switching, manual configuration, and load/merge rules)"
,,core,,,"When I need to work in a different project or cluster, I want to switch CLI contexts, so I can target the correct environment without modifying configuration files manually.",Developer,cli_reference-combined.adoc,"cli_reference-combined.adoc, lines 3607-3719 (About switching between CLI profiles concept, including kubeconfig structure example and oc project/oc status verification commands)"
,,core,,,"When I need fine-grained control over my CLI configuration, I want to manually set clusters, contexts, and user entries using oc config commands, so I can create custom profiles that match my workflow without relying solely on interactive login.",Cluster administrator,cli_reference-combined.adoc,"cli_reference-combined.adoc, lines 3728-3874 (Manually configuring CLI profiles procedure at line 3728 and Manual configuration reference table at line 3806)"
,,related,,,"When I have multiple kubeconfig files or override options, I want to understand how the CLI loads and merges configuration, so I can predict which context, cluster, and user credentials will be used for a given command.",Cluster administrator,cli_reference-combined.adoc,"cli_reference-combined.adoc, lines 3882-3921 (Load and merge rules concept explaining configuration file hierarchy, context determination, cluster and user resolution)"
,,core,,,"When I need CLI functionality that the default oc commands do not provide, I want to extend the OpenShift CLI with custom plugins, so I can perform new and more complex tasks tailored to my workflow.",Developer,cli_reference-combined.adoc,"cli_reference-combined.adoc, combined lines 3931-4464 (Extending the OpenShift CLI with plugins assembly, including Writing CLI plugins and Installing and using CLI plugins modules)"
,,core,,,"When I want to add a custom command to the OpenShift CLI, I want to write a plugin script following the naming and structure conventions, so I can invoke my custom functionality through the oc command.",Developer,cli_reference-combined.adoc,"cli_reference-combined.adoc, combined lines 4353-4401 (Writing CLI plugins procedure: naming conventions oc-/kubectl- prefix, file name to command mapping, sample Bash plugin)"
,,core,,,"When I have written a custom CLI plugin, I want to install it and verify it is recognized, so I can use it as part of my normal oc command workflow.",Developer,cli_reference-combined.adoc,"cli_reference-combined.adoc, combined lines 4412-4464 (Installing and using CLI plugins procedure: chmod +x, place in PATH, oc plugin list verification, invoke the command)"
,,core,,,"When I am developing and deploying applications on OpenShift, I want to use the oc developer CLI commands to create, build, deploy, debug, and manage my applications, so I can efficiently manage the full application lifecycle from the command line.",Developer,cli_reference-combined.adoc,"cli_reference-combined.adoc, combined lines 4467-8017 (OpenShift CLI developer command reference assembly, auto-generated reference of ~100 oc developer commands with descriptions and examples)"
,,core,,,"When I need to create and deploy a new application on OpenShift, I want to use CLI commands for application creation, build configuration, and deployment management, so I can go from source code to a running application.",Developer,cli_reference-combined.adoc,"cli_reference-combined.adoc, combined lines 6817-6912 (oc new-app), 6872-6912 (oc new-build), 7879-7904 (oc start-build), 6927-6932 (oc new-project), 5408-5440 (oc expose), 5585-5607 (oc create)"
,,core,,,"When I need to manage deployment rollouts and scaling of my applications, I want to use CLI commands for rollout management, scaling, and rollback, so I can control how and when application updates are delivered.",Developer,cli_reference-combined.adoc,"cli_reference-combined.adoc, combined lines 7235-7322 (oc rollout and subcommands: cancel, history, latest, pause, restart, resume, retry, status, undo), 7225-7235 (oc rollback), 7464-7492 (oc scale), 7813-7843 (oc set triggers)"
,,core,,,"When I need to inspect, create, modify, or delete Kubernetes resources, I want to use CLI commands for resource CRUD operations, so I can manage the desired state of my cluster resources efficiently.",Developer,cli_reference-combined.adoc,"cli_reference-combined.adoc, combined lines 4900-4930 (oc annotate), 4968-4996 (oc apply and subcommands), 5585-5607 (oc create and subcommands), 6192-6230 (oc delete), 6231-6262 (oc describe), 6259-6278 (oc diff), 6274-6302 (oc edit), 5427-5482 (oc get), 6724-6756 (oc label), 6945-6975 (oc patch), 7190-7215 (oc replace), 7259-7274 (oc diff)"
,,core,,,"When my application is not behaving as expected, I want to use CLI commands for debugging, log inspection, remote execution, and status checking, so I can diagnose and resolve issues in running workloads.",Developer,cli_reference-combined.adoc,"cli_reference-combined.adoc, combined lines 6152-6192 (oc debug), 6791-6817 (oc logs), 6322-6362 (oc exec), 7388-7418 (oc rsh), 7413-7432 (oc rsync), 7057-7092 (oc port-forward), 5064-5070 (oc attach), 6298-6326 (oc events), 7908-7926 (oc status), 5551-5585 (oc cp)"
,,core,,,"When I need to adjust environment variables, resource limits, probes, volumes, or other configuration on my deployed applications, I want to use the oc set commands, so I can update application configuration without manually editing YAML.",Developer,cli_reference-combined.adoc,"cli_reference-combined.adoc, combined lines 6594-6638 (oc set env), 6658-6686 (oc set image), 6685-6718 (oc set image-lookup), 6715-6750 (oc set probe), 6736-6770 (oc set resources), 6766-6800 (oc set route-backends), 7843-7883 (oc set volumes), 6555-6578 (oc set data), 6575-6598 (oc set deployment-hook), 7776-7800 (oc set serviceaccount), 7791-7813 (oc set subject), 7763-7780 (oc set selector)"
,,core,,,"When I need to manage container images for my applications, I want to use CLI commands for image importing, tagging, mirroring, and inspection, so I can control which images are available and used in my deployments.",Developer,cli_reference-combined.adoc,"cli_reference-combined.adoc, combined lines 6706-6710 (oc import-image), 7926-7960 (oc tag), 6505-6548 (oc image append), 6544-6597 (oc image extract), 6593-6618 (oc image info), 6614-6680 (oc image mirror), 7190-7198 (oc registry login)"
,,core,,,"When I need to authenticate to an OpenShift cluster or verify my permissions, I want to use CLI commands for login, session management, and authorization checking, so I can securely access the cluster and confirm I have the required permissions for my tasks.",Developer,cli_reference-combined.adoc,"cli_reference-combined.adoc, combined lines 6752-6784 (oc login), 6791-6795 (oc logout), 8003-8012 (oc whoami), 7067-7108 (oc auth can-i), 7108-7120 (oc auth reconcile), 7131-7140 (oc auth whoami), 6493-6498 (oc get-token), 7002-7020 (oc policy add-role-to-user), 7017-7044 (oc policy scc-review), 7039-7062 (oc policy scc-subject-review)"
,,core,,,"When I need to perform administrative operations on my OpenShift cluster, I want to use the oc adm CLI commands, so I can configure, maintain, and troubleshoot the cluster efficiently from the command line.",Cluster administrator,cli_reference-combined.adoc,"cli_reference-combined.adoc lines 8018-9478 (chunk4 lines 1-1461); covers all oc adm commands including node management, policy, certificates, pruning, releases, and monitoring"
,,core,,,"When I need to manage node availability and lifecycle, I want to use oc adm node management commands such as cordon, drain, uncordon, taint, and restart-kubelet, so I can safely perform node maintenance without disrupting workloads.",Cluster administrator,cli_reference-combined.adoc,"cli_reference-combined.adoc lines 8535-8854 (chunk4 lines 518-837); commands: cordon, uncordon, drain, taint, copy-to-node, node-image create/monitor, node-logs, restart-kubelet, reboot-machine-config-pool, wait-for-node-reboot"
,,core,,,"When I need to control who can access cluster resources and what actions they can perform, I want to use oc adm policy and groups commands, so I can enforce security policies and manage user access across the cluster.",Cluster administrator,cli_reference-combined.adoc,"cli_reference-combined.adoc lines 8610-9035 (chunk4 lines 593-1018); commands: groups add-users/new/prune/remove-users/sync, policy add/remove cluster-role-to-user/group, add/remove-scc-to-user/group, scc-review, scc-subject-review"
,,core,,,"When I need to maintain cluster health and troubleshoot issues, I want to use oc adm commands for pruning old resources, inspecting cluster state, and gathering debug information, so I can keep the cluster running efficiently and resolve problems quickly.",Cluster administrator,cli_reference-combined.adoc,"cli_reference-combined.adoc lines 9057-9475 (chunk4 lines 1040-1458); commands: prune builds/deployments/groups/images/renderedmachineconfigs, inspect, must-gather, top node/pod/images/imagestreams/persistentvolumeclaims, upgrade, release extract/info/new, wait-for-stable-cluster, verify-image-signature, build-chain, catalog mirror, migrate icsp/template-instances"
,,core,,,"When I need to extend OpenShift CLI functionality with plugins, I want to use the CLI Manager Operator to install, update, and manage CLI plugins, so I can provide consistent CLI tooling to cluster users including in disconnected environments.",Cluster administrator,cli_reference-combined.adoc,"cli_reference-combined.adoc lines 9480-12158 (chunk4 lines 1463-4141); covers CLI Manager overview, release notes 0.1.1 and 0.2.0, installing, adding custom index to Krew, adding plugins, using (install/upgrade/update/uninstall plugins), uninstalling"
,,consumption,,,"When I want to provide centralized CLI plugin management for my cluster, I want to install the CLI Manager Operator and configure the Krew custom index, so I can make CLI plugins available to cluster users.",Cluster administrator,cli_reference-combined.adoc,"cli_reference-combined.adoc lines 10418-11048 (chunk4 lines 2401-3031); covers creating namespace, installing operator via web console, creating CliManager resource, adding custom index to Krew, and adding plugins via YAML"
,,consumption,,,"When I need to install, update, or remove CLI plugins on my workstation, I want to use oc krew commands provided by the CLI Manager, so I can keep my CLI tools current with minimal effort.",Developer,cli_reference-combined.adoc,"cli_reference-combined.adoc lines 11050-11668 (chunk4 lines 3033-3651); covers oc krew search, info, install, list, upgrade, and uninstall commands for managing CLI plugins"
,,consumption,,,"When I no longer need the CLI Manager on my cluster, I want to uninstall the operator and clean up its resources, so I can remove unused components and reclaim cluster resources.",Cluster administrator,cli_reference-combined.adoc,cli_reference-combined.adoc lines 11671-12158 (chunk4 lines 3654-4141); covers uninstalling the operator via web console and removing the openshift-cli-manager-operator namespace
,,consumption,,,"When I am looking for odo developer CLI documentation, I want to understand the current support status of odo, so I can find the correct documentation source and understand the support model.",Developer,cli_reference-combined.adoc,Lines 12642-12653: Important update on odo section redirecting users to odo.dev documentation and noting Cooperative Community Support model
,,core,,,"When I need to deploy and manage serverless applications and event-driven architectures, I want to use the Knative CLI to interact with Knative components, so I can perform serverless computing tasks efficiently from the command line.",Developer,cli_reference-combined.adoc,"Lines 13060-13084: Knative CLI section listing key features including deploying serverless apps, managing Serving and Eventing components, creating sink bindings, plugin architecture, autoscaling configuration, and scripted usage"
,,core,,,"When I need to use the Knative CLI to manage serverless workloads, I want to install the kn CLI on my workstation, so I can begin interacting with Knative components on my OpenShift cluster.",Developer,cli_reference-combined.adoc,Lines 13081-13084: Installing the Knative CLI section with external link to OpenShift Serverless installation documentation
,,core,,,"When I need to create, run, and manage CI/CD pipelines on OpenShift, I want to use the Pipelines CLI to interact with Tekton pipeline resources, so I can automate build, test, and deployment workflows from the command line.",Developer,cli_reference-combined.adoc,"Lines 13087-15384: Full tkn CLI coverage including installation procedures (lines 13087-13754), configuration (lines 13757-14208), and comprehensive command reference covering utility commands, pipeline management, pipeline runs, task management, task runs, conditions, pipeline resources, cluster tasks, triggers, and hub interactions (lines 14212-15384)"
,,core,,,"When I need to manage OpenShift Pipelines from the command line, I want to install the tkn CLI on my operating system, so I can interact with pipeline resources on my cluster.",Developer,cli_reference-combined.adoc,"Lines 13087-13754: Installing tkn assembly with procedures for Linux binary download (lines 13553-13591), Linux RPM installation (lines 13603-13720), Windows installation (lines 13728-13739), and macOS installation (lines 13729-13754)"
,,related,,,"When I have installed the tkn CLI, I want to configure tab completion for my shell, so I can work more efficiently by auto-completing commands and options.",Developer,cli_reference-combined.adoc,"Lines 13757-14208: Configuring tkn section covering tab completion setup for Bash shell, including generating completion code and copying to bash_completion.d"
,,consumption,,,"When I am using the tkn CLI to manage pipelines, I want to look up the correct syntax and options for tkn commands, so I can execute the right commands for managing pipelines, tasks, runs, triggers, and hub resources.",Developer,cli_reference-combined.adoc,"Lines 14212-15384: Comprehensive tkn CLI reference organized into utility commands (lines 14639-14668), pipeline management commands (lines 14678-14735), pipeline run commands (lines 14745-14830), task management commands (lines 14830-14896), task run commands (lines 14898-14971), condition management commands (lines 14971-15019), pipeline resource management commands (lines 15019-15076), cluster task management commands (lines 15076-15137), trigger management commands (lines 15137-15277), and hub interaction commands (lines 15296-15384)"
,,core,,,"When I need to manage GitOps-driven application deployments and Argo CD resources, I want to use the argocd CLI to configure and manage OpenShift GitOps, so I can automate application delivery using GitOps principles from the command line.",Cluster administrator,cli_reference-combined.adoc,"Lines 15386-15811: GitOps CLI section describing the argocd CLI tool for configuring and managing OpenShift GitOps and Argo CD resources, with link to installation documentation and additional resources about GitOps concepts"
,,core,,,"When I need to manage Argo CD resources from the command line, I want to install the argocd CLI, so I can begin configuring and managing OpenShift GitOps resources.",Cluster administrator,cli_reference-combined.adoc,Lines 15802-15808: Installing the GitOps CLI section with external link to OpenShift GitOps installation documentation
,,core,,,"When I need to create, maintain, and distribute Operator catalogs for my cluster, I want to use the opm CLI to manage catalog images from Operator bundles, so I can build and serve custom Operator catalogs that can be consumed by OLM on my cluster.",Operator author,cli_reference-combined.adoc,"Lines 15813-17297: opm CLI coverage including about section describing catalog creation from bundles (lines 16232-16238), installation procedure (lines 16254-16325), and comprehensive CLI reference covering generate, index, init, migrate, render, serve, and validate commands (lines 16334-17297)"
,,core,,,"When I need to manage Operator catalogs, I want to install the opm CLI on my workstation, so I can begin creating and maintaining catalog images for my cluster.",Operator author,cli_reference-combined.adoc,"Lines 16254-16325: Procedure for installing opm CLI covering download from OpenShift mirror site, unpacking archive for Linux/macOS/Windows, placing in PATH, and verification with opm version"
,,consumption,,,"When I am building or maintaining Operator catalogs, I want to look up the correct syntax and options for opm commands, so I can execute catalog management operations correctly.",Operator author,cli_reference-combined.adoc,"Lines 16334-17297: opm CLI reference covering generate/dockerfile commands for declarative config (lines 16794-16863), index commands for SQLite format including add/prune/prune-stranded/rm (lines 16873-17105), init for package declaration (lines 17116-17143), migrate for SQLite-to-FBC conversion (lines 17155-17189), render for generating declarative config blobs (lines 17201-17219), serve for GRPC server (lines 17231-17275), and validate for checking declarative config files (lines 17287-17297)"
,,core,,,"When I need to create and manage hosted control plane clusters, I want to install and use the hcp CLI, so I can provision hosted clusters on supported platforms from the command line.",Cluster administrator,cli_reference-combined.adoc,"Lines 17300-17905: Hosted control planes CLI section describing the hcp CLI for creating and managing hosted clusters, with three installation methods: terminal (lines 17720-17784), web console (lines 17793-17844), and content gateway (lines 17854-17902)"
,,core,,,"When I have the multicluster engine Operator installed, I want to install the hcp CLI by downloading it from the cluster using oc commands, so I can get the CLI version that matches my cluster's multicluster engine version.",Cluster administrator,cli_reference-combined.adoc,"Lines 17720-17784: Procedure for installing hcp CLI from terminal using oc get ConsoleCLIDownload to obtain download URL, then wget, tar, chmod, and mv to install"
,,core,,,"When I prefer a graphical workflow, I want to install the hcp CLI by downloading it from the OpenShift web console, so I can get the binary without using command-line tools to discover the download URL.",Cluster administrator,cli_reference-combined.adoc,Lines 17793-17844: Procedure for installing hcp CLI via web console by navigating to Help > Command Line Tools and downloading the binary
,,core,,,"When I want to install the hcp CLI without requiring cluster access, I want to download it from the Red Hat content gateway, so I can prepare my workstation before connecting to a cluster.",Cluster administrator,cli_reference-combined.adoc,"Lines 17854-17902: Procedure for installing hcp CLI from Red Hat content gateway at developers.redhat.com, with download, untar, chmod, and mv steps"
