doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes,validation_status,validation_flags
security-combined.adoc,Zero Trust Workload Identity Manager overview,"When I adopt zero-trust workload identity, I want to deploy SPIFFE/SPIRE and related federation, so I can authenticate workloads without long-lived secrets.",core,Security architect,Configure,main_job,,,,Minimize time to implement required security controls; Reduce likelihood of security gaps in production clusters,"security-combined.adoc -> Section 'Zero Trust Workload Identity Manager overview', lines 58370-58372",Main job grouping key: zero_trust_identity,pass,
security-combined.adoc,Understanding secrets management,"When sensitive values live in external vaults, I want the External Secrets Operator to sync secrets into the cluster, so I can avoid duplicating secret storage.",core,Platform engineer,Configure,main_job,,,,Minimize time to implement required security controls; Reduce likelihood of security gaps in production clusters,"security-combined.adoc -> Section 'Understanding secrets management', lines 46679-46759",Main job grouping key: external_secrets,pass,
security-combined.adoc,Viewing audit logs,"When I need accountability for cluster changes, I want to configure audit policy and review audit logs, so I can support investigations and compliance evidence.",core,Security engineer,Observe,main_job,,,,Minimize time to implement required security controls; Reduce likelihood of security gaps in production clusters,"security-combined.adoc -> Section 'Viewing audit logs', lines 75841-75843",Main job grouping key: audit_monitoring,pass,
security-combined.adoc,Configuring TLS security profiles,"When I harden a production cluster, I want to configure TLS profiles, seccomp defaults, and API access constraints, so I can reduce attack surface.",core,Cluster administrator,Secure,main_job,,,,Minimize time to implement required security controls; Reduce likelihood of security gaps in production clusters,"security-combined.adoc -> Section 'Configuring TLS security profiles', lines 77302-77304",Main job grouping key: cluster_hardening,pass,
security-combined.adoc,Scanning pods for vulnerabilities,"When I deploy container images, I want to scan pods for known vulnerabilities, so I can block or remediate risky workloads before production.",core,Cluster administrator,Confirm,main_job,,,,Minimize time to implement required security controls; Reduce likelihood of security gaps in production clusters,"security-combined.adoc -> Section 'Scanning pods for vulnerabilities', lines 79473-79475",Main job grouping key: vulnerability_scanning,pass,
security-combined.adoc,Security and compliance overview,"When this security topic applies to my cluster, I want to follow documented guidance for security and compliance overview, so I can implement the control without gaps or rework.",related,Cluster administrator,Plan,user_story,"When I am responsible for cluster security, I want to understand how OpenShift addresses security and compliance across layers, so I can plan controls and assign ownership.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Security and compliance overview', lines 1-3 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: index.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Understanding container security,"When I need context before changing cluster security, I want to understand container security, so I can design controls and explain trade-offs to stakeholders.",related,Platform engineer,Secure,user_story,"When I run containerized workloads, I want to secure images, builds, registries, deployment, networking, and storage, so I can reduce supply-chain and runtime risk.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Understanding container security', lines 497-499 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: container_security/security-understanding.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Understanding host and VM security,"When I need context before changing cluster security, I want to understand host and VM security, so I can design controls and explain trade-offs to stakeholders.",related,Platform engineer,Secure,user_story,"When I run containerized workloads, I want to secure images, builds, registries, deployment, networking, and storage, so I can reduce supply-chain and runtime risk.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Understanding host and VM security', lines 1027-1029 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: container_security/security-hosts-vms.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Hardening Red Hat Enterprise Linux CoreOS,"When this security topic applies to my cluster, I want to follow documented guidance for hardening red hat enterprise linux coreos, so I can implement the control without gaps or rework.",related,Platform engineer,Secure,user_story,"When I run containerized workloads, I want to secure images, builds, registries, deployment, networking, and storage, so I can reduce supply-chain and runtime risk.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Hardening Red Hat Enterprise Linux CoreOS', lines 1585-1587 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: container_security/security-hardening.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Container image signatures,"When this security topic applies to my cluster, I want to follow documented guidance for container image signatures, so I can implement the control without gaps or rework.",related,Platform engineer,Secure,user_story,"When I run containerized workloads, I want to secure images, builds, registries, deployment, networking, and storage, so I can reduce supply-chain and runtime risk.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Container image signatures', lines 2086-2088 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: container_security/security-container-signature.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Understanding compliance,"When I need context before changing cluster security, I want to understand compliance, so I can design controls and explain trade-offs to stakeholders.",related,Compliance officer,Plan,user_story,"When my organization must meet regulatory or governance requirements, I want to understand compliance concepts and checking options in OpenShift, so I can choose appropriate controls.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Understanding compliance', lines 3078-3080 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: container_security/security-compliance.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Securing container content,"When this security topic applies to my cluster, I want to follow documented guidance for securing container content, so I can implement the control without gaps or rework.",related,Platform engineer,Secure,user_story,"When I run containerized workloads, I want to secure images, builds, registries, deployment, networking, and storage, so I can reduce supply-chain and runtime risk.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Securing container content', lines 3550-3552 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: container_security/security-container-content.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Using container registries securely,"When this security topic applies to my cluster, I want to follow documented guidance for using container registries securely, so I can implement the control without gaps or rework.",related,Platform engineer,Secure,user_story,"When I run containerized workloads, I want to secure images, builds, registries, deployment, networking, and storage, so I can reduce supply-chain and runtime risk.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Using container registries securely', lines 4368-4370 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: container_security/security-registries.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Securing the build process,"When this security topic applies to my cluster, I want to follow documented guidance for securing the build process, so I can implement the control without gaps or rework.",related,Platform engineer,Secure,user_story,"When I run containerized workloads, I want to secure images, builds, registries, deployment, networking, and storage, so I can reduce supply-chain and runtime risk.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Securing the build process', lines 4939-4941 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: container_security/security-build.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Deploying containers,"When this security topic applies to my cluster, I want to follow documented guidance for deploying containers, so I can implement the control without gaps or rework.",related,Platform engineer,Secure,user_story,"When I run containerized workloads, I want to secure images, builds, registries, deployment, networking, and storage, so I can reduce supply-chain and runtime risk.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Deploying containers', lines 5550-5552 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: container_security/security-deploy.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Securing the container platform,"When this security topic applies to my cluster, I want to follow documented guidance for securing the container platform, so I can implement the control without gaps or rework.",related,Platform engineer,Secure,user_story,"When I run containerized workloads, I want to secure images, builds, registries, deployment, networking, and storage, so I can reduce supply-chain and runtime risk.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Securing the container platform', lines 6196-6198 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: container_security/security-platform.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Securing networks,"When this security topic applies to my cluster, I want to follow documented guidance for securing networks, so I can implement the control without gaps or rework.",related,Platform engineer,Secure,user_story,"When I run containerized workloads, I want to secure images, builds, registries, deployment, networking, and storage, so I can reduce supply-chain and runtime risk.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Securing networks', lines 6808-6810 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: container_security/security-network.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Securing attached storage,"When this security topic applies to my cluster, I want to follow documented guidance for securing attached storage, so I can implement the control without gaps or rework.",related,Platform engineer,Secure,user_story,"When I run containerized workloads, I want to secure images, builds, registries, deployment, networking, and storage, so I can reduce supply-chain and runtime risk.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Securing attached storage', lines 7355-7357 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: container_security/security-storage.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Monitoring cluster events and logs,"When I need visibility into cluster security events, I want to monitoring relevant logs or metrics, so I can detect issues and support audits.",related,Platform engineer,Secure,user_story,"When I run containerized workloads, I want to secure images, builds, registries, deployment, networking, and storage, so I can reduce supply-chain and runtime risk.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Monitoring cluster events and logs', lines 7853-7855 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: container_security/security-monitoring.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Replacing the default ingress certificate,"When this security topic applies to my cluster, I want to follow documented guidance for replacing the default ingress certificate, so I can implement the control without gaps or rework.",related,Cluster administrator,Configure,user_story,"When cluster components require trusted TLS, I want to replace and manage ingress, API, and service certificates, so I can meet organizational PKI requirements.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Replacing the default ingress certificate', lines 8391-8393 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: certificates/replacing-default-ingress-certificate.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Adding API server certificates,"When this security topic applies to my cluster, I want to follow documented guidance for adding api server certificates, so I can implement the control without gaps or rework.",related,Cluster administrator,Configure,user_story,"When cluster components require trusted TLS, I want to replace and manage ingress, API, and service certificates, so I can meet organizational PKI requirements.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Adding API server certificates', lines 8920-8922 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: certificates/api-server.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Securing service traffic using service serving certificates,"When this security topic applies to my cluster, I want to follow documented guidance for securing service traffic using service serving certificates, so I can implement the control without gaps or rework.",related,Cluster administrator,Configure,user_story,"When cluster components require trusted TLS, I want to replace and manage ingress, API, and service certificates, so I can meet organizational PKI requirements.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Securing service traffic using service serving certificates', lines 9463-9465 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: certificates/service-serving-certificate.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Updating the CA bundle,"When a supported upgrade path is available, I want to update the CA bundle, so I can receive fixes without prolonged exposure to known issues.",related,Cluster administrator,Configure,user_story,"When cluster components require trusted TLS, I want to replace and manage ingress, API, and service certificates, so I can meet organizational PKI requirements.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Updating the CA bundle', lines 10447-10449 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: certificates/updating-ca-bundle.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,User-provided certificates for the API server,"When this security topic applies to my cluster, I want to follow documented guidance for user-provided certificates for the api server, so I can implement the control without gaps or rework.",related,Platform engineer,Reference,user_story,"When I troubleshoot TLS or plan certificate rotation, I want to understand each certificate type used by the platform, so I can manage lifecycle and trust correctly.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'User-provided certificates for the API server', lines 10927-10929 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: certificate_types_descriptions/user-provided-certificates-for-api-server.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Proxy certificates,"When this security topic applies to my cluster, I want to follow documented guidance for proxy certificates, so I can implement the control without gaps or rework.",related,Platform engineer,Reference,user_story,"When I troubleshoot TLS or plan certificate rotation, I want to understand each certificate type used by the platform, so I can manage lifecycle and trust correctly.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Proxy certificates', lines 11361-11363 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: certificate_types_descriptions/proxy-certificates.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Service CA certificates,"When this security topic applies to my cluster, I want to follow documented guidance for service ca certificates, so I can implement the control without gaps or rework.",related,Platform engineer,Reference,user_story,"When I troubleshoot TLS or plan certificate rotation, I want to understand each certificate type used by the platform, so I can manage lifecycle and trust correctly.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Service CA certificates', lines 11889-11891 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: certificate_types_descriptions/service-ca-certificates.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Node certificates,"When this security topic applies to my cluster, I want to follow documented guidance for node certificates, so I can implement the control without gaps or rework.",related,Platform engineer,Reference,user_story,"When I troubleshoot TLS or plan certificate rotation, I want to understand each certificate type used by the platform, so I can manage lifecycle and trust correctly.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Node certificates', lines 12358-12360 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: certificate_types_descriptions/node-certificates.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Bootstrap certificates,"When this security topic applies to my cluster, I want to follow documented guidance for bootstrap certificates, so I can implement the control without gaps or rework.",related,Platform engineer,Reference,user_story,"When I troubleshoot TLS or plan certificate rotation, I want to understand each certificate type used by the platform, so I can manage lifecycle and trust correctly.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Bootstrap certificates', lines 12797-12799 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: certificate_types_descriptions/bootstrap-certificates.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,etcd certificates,"When this security topic applies to my cluster, I want to follow documented guidance for etcd certificates, so I can implement the control without gaps or rework.",related,Platform engineer,Reference,user_story,"When I troubleshoot TLS or plan certificate rotation, I want to understand each certificate type used by the platform, so I can manage lifecycle and trust correctly.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'etcd certificates', lines 13227-13229 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: certificate_types_descriptions/etcd-certificates.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,OLM certificates,"When this security topic applies to my cluster, I want to follow documented guidance for olm certificates, so I can implement the control without gaps or rework.",related,Platform engineer,Reference,user_story,"When I troubleshoot TLS or plan certificate rotation, I want to understand each certificate type used by the platform, so I can manage lifecycle and trust correctly.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'OLM certificates', lines 13765-13767 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: certificate_types_descriptions/olm-certificates.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Aggregated API client certificates,"When this security topic applies to my cluster, I want to follow documented guidance for aggregated api client certificates, so I can implement the control without gaps or rework.",related,Platform engineer,Reference,user_story,"When I troubleshoot TLS or plan certificate rotation, I want to understand each certificate type used by the platform, so I can manage lifecycle and trust correctly.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Aggregated API client certificates', lines 14192-14194 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: certificate_types_descriptions/aggregated-api-client-certificates.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Machine Config Operator certificates,"When this security topic applies to my cluster, I want to follow documented guidance for machine config operator certificates, so I can implement the control without gaps or rework.",related,Platform engineer,Reference,user_story,"When I troubleshoot TLS or plan certificate rotation, I want to understand each certificate type used by the platform, so I can manage lifecycle and trust correctly.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Machine Config Operator certificates', lines 14617-14619 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: certificate_types_descriptions/machine-config-operator-certificates.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,User-provided certificates for default ingress,"When this security topic applies to my cluster, I want to follow documented guidance for user-provided certificates for default ingress, so I can implement the control without gaps or rework.",related,Platform engineer,Reference,user_story,"When I troubleshoot TLS or plan certificate rotation, I want to understand each certificate type used by the platform, so I can manage lifecycle and trust correctly.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'User-provided certificates for default ingress', lines 15104-15106 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: certificate_types_descriptions/user-provided-certificates-for-default-ingress.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Ingress certificates,"When this security topic applies to my cluster, I want to follow documented guidance for ingress certificates, so I can implement the control without gaps or rework.",related,Platform engineer,Reference,user_story,"When I troubleshoot TLS or plan certificate rotation, I want to understand each certificate type used by the platform, so I can manage lifecycle and trust correctly.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Ingress certificates', lines 15545-15547 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: certificate_types_descriptions/ingress-certificates.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Monitoring and cluster logging Operator component certificates,"When I need visibility into cluster security events, I want to monitoring relevant logs or metrics, so I can detect issues and support audits.",related,Platform engineer,Reference,user_story,"When I troubleshoot TLS or plan certificate rotation, I want to understand each certificate type used by the platform, so I can manage lifecycle and trust correctly.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Monitoring and cluster logging Operator component certificates', lines 16036-16038 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: certificate_types_descriptions/monitoring-and-cluster-logging-operator-component-certificates.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Control plane certificates,"When this security topic applies to my cluster, I want to follow documented guidance for control plane certificates, so I can implement the control without gaps or rework.",related,Platform engineer,Reference,user_story,"When I troubleshoot TLS or plan certificate rotation, I want to understand each certificate type used by the platform, so I can manage lifecycle and trust correctly.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Control plane certificates', lines 16452-16454 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: certificate_types_descriptions/control-plane-certificates.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Compliance Operator overview,"When this security topic applies to my cluster, I want to follow documented guidance for compliance operator overview, so I can implement the control without gaps or rework.",related,Cluster administrator,Secure,user_story,"When I need automated compliance assessment, I want to install and run the Compliance Operator with profiles and remediations, so I can demonstrate and improve regulatory posture.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Compliance Operator overview', lines 16875-16877 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: compliance_operator/co-overview.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Compliance Operator release notes,"When I plan upgrades, I want to review release notes for this component, so I can assess impact and schedule compatible cluster changes.",related,Cluster administrator,Secure,user_story,"When I need automated compliance assessment, I want to install and run the Compliance Operator with profiles and remediations, so I can demonstrate and improve regulatory posture.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Compliance Operator release notes', lines 17333-17336 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: compliance_operator/compliance-operator-release-notes.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Compliance Operator support,"When this security topic applies to my cluster, I want to follow documented guidance for compliance operator support, so I can implement the control without gaps or rework.",related,Cluster administrator,Secure,user_story,"When I need automated compliance assessment, I want to install and run the Compliance Operator with profiles and remediations, so I can demonstrate and improve regulatory posture.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Compliance Operator support', lines 18593-18596 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: compliance_operator/co-support.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Understanding the Compliance Operator,"When I need context before changing cluster security, I want to understand the Compliance Operator, so I can design controls and explain trade-offs to stakeholders.",related,Cluster administrator,Secure,user_story,"When I need automated compliance assessment, I want to install and run the Compliance Operator with profiles and remediations, so I can demonstrate and improve regulatory posture.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Understanding the Compliance Operator', lines 19085-19087 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: compliance_operator/co-concepts/compliance-operator-understanding.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Understanding the Custom Resource Definitions,"When I need context before changing cluster security, I want to understand the Custom Resource Definitions, so I can design controls and explain trade-offs to stakeholders.",related,Cluster administrator,Secure,user_story,"When I need automated compliance assessment, I want to install and run the Compliance Operator with profiles and remediations, so I can demonstrate and improve regulatory posture.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Understanding the Custom Resource Definitions', lines 19751-19753 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: compliance_operator/co-concepts/compliance-operator-crd.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
security-combined.adoc,Installing the Compliance Operator,"When the capability is not yet available on my cluster, I want to install the Compliance Operator, so I can enable the security feature in supported namespaces.",related,Cluster administrator,Secure,user_story,"When I need automated compliance assessment, I want to install and run the Compliance Operator with profiles and remediations, so I can demonstrate and improve regulatory posture.",,,Minimize time to find accurate steps for this task; Reduce likelihood of misconfiguration during implementation,"security-combined.adoc -> Section 'Installing the Compliance Operator', lines 20789-20791 [module: _attributes/common-attributes.adoc, type: UNKNOWN]",Assembly: compliance_operator/co-management/compliance-operator-installation.adoc. Source module: _attributes/common-attributes.adoc (UNKNOWN),pass,
