doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
security-auth-combined.adoc,Compliance overview,"When working with Security and compliance overview, I want to compliance overview, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete compliance overview; Minimize the likelihood of errors during compliance overview,"security-auth-combined.adoc -> Compliance overview, lines 469-487 [index.adoc]",Assembly: security/index.adoc. Topic: Security and compliance overview
security-auth-combined.adoc,Understanding container security,"When working with Understanding container security, I want to understanding container security, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete understanding container security; Minimize the likelihood of errors during understanding container security,"security-auth-combined.adoc -> Understanding container security, assembly container_security/security-understanding.adoc",Book: security. Assembly: container_security/security-understanding.adoc
security-auth-combined.adoc,Understanding host and VM security,"When working with Understanding host and VM security, I want to understanding host and vm security, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete understanding host and vm security; Minimize the likelihood of errors during understanding host and vm security,"security-auth-combined.adoc -> Understanding host and VM security, assembly container_security/security-hosts-vms.adoc",Book: security. Assembly: container_security/security-hosts-vms.adoc
security-auth-combined.adoc,Hardening before installation,"When working with Hardening Red Hat Enterprise Linux CoreOS, I want to hardening before installation, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete hardening before installation; Minimize the likelihood of errors during hardening before installation,"security-auth-combined.adoc -> Hardening before installation, lines 2041-2053 [container_security/security-hardening.adoc]",Assembly: security/container_security/security-hardening.adoc. Topic: Hardening Red Hat Enterprise Linux CoreOS
security-auth-combined.adoc,Hardening during installation,"When working with Hardening Red Hat Enterprise Linux CoreOS, I want to hardening during installation, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete hardening during installation; Minimize the likelihood of errors during hardening during installation,"security-auth-combined.adoc -> Hardening during installation, lines 2053-2058 [container_security/security-hardening.adoc]",Assembly: security/container_security/security-hardening.adoc. Topic: Hardening Red Hat Enterprise Linux CoreOS
security-auth-combined.adoc,Hardening after the cluster is running,"When working with Hardening Red Hat Enterprise Linux CoreOS, I want to hardening after the cluster is running, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete hardening after the cluster is running; Minimize the likelihood of errors during hardening after the cluster is running,"security-auth-combined.adoc -> Hardening after the cluster is running, lines 2058-2083 [container_security/security-hardening.adoc]",Assembly: security/container_security/security-hardening.adoc. Topic: Hardening Red Hat Enterprise Linux CoreOS
security-auth-combined.adoc,Automated verification during updates,"When working with Container image signatures, I want to automated verification during updates, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Secure the container software supply chain,,,Minimize the time required to complete automated verification during updates; Minimize the likelihood of errors during automated verification during updates,"security-auth-combined.adoc -> Automated verification during updates, lines 2978-3000 [container_security/security-container-signature.adoc]",Assembly: security/container_security/security-container-signature.adoc. Topic: Container image signatures
security-auth-combined.adoc,Hardening before installation,"When working with Hardening Fedora CoreOS, I want to hardening before installation, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete hardening before installation; Minimize the likelihood of errors during hardening before installation,"security-auth-combined.adoc -> Hardening before installation, lines 3534-3546 [container_security/security-hardening.adoc]",Assembly: security/container_security/security-hardening.adoc. Topic: Hardening Fedora CoreOS
security-auth-combined.adoc,Hardening during installation,"When working with Hardening Fedora CoreOS, I want to hardening during installation, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete hardening during installation; Minimize the likelihood of errors during hardening during installation,"security-auth-combined.adoc -> Hardening during installation, lines 3546-3551 [container_security/security-hardening.adoc]",Assembly: security/container_security/security-hardening.adoc. Topic: Hardening Fedora CoreOS
security-auth-combined.adoc,Hardening after the cluster is running,"When working with Hardening Fedora CoreOS, I want to hardening after the cluster is running, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete hardening after the cluster is running; Minimize the likelihood of errors during hardening after the cluster is running,"security-auth-combined.adoc -> Hardening after the cluster is running, lines 3551-3576 [container_security/security-hardening.adoc]",Assembly: security/container_security/security-hardening.adoc. Topic: Hardening Fedora CoreOS
security-auth-combined.adoc,Understanding compliance,"When working with Understanding compliance, I want to understanding compliance, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete understanding compliance; Minimize the likelihood of errors during understanding compliance,"security-auth-combined.adoc -> Understanding compliance, assembly container_security/security-compliance.adoc",Book: security. Assembly: container_security/security-compliance.adoc
security-auth-combined.adoc,Scanning OpenShift images,"When working with Securing container content, I want to scanning openshift images, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Secure the container software supply chain,,,Minimize the time required to complete scanning openshift images; Minimize the likelihood of errors during scanning openshift images,"security-auth-combined.adoc -> Scanning OpenShift images, lines 4581-4607 [container_security/security-container-content.adoc]",Assembly: security/container_security/security-container-content.adoc. Topic: Securing container content
security-auth-combined.adoc,Image metadata,"When working with Securing container content, I want to image metadata, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Secure the container software supply chain,,,Minimize the time required to complete image metadata; Minimize the likelihood of errors during image metadata,"security-auth-combined.adoc -> Image metadata, lines 4616-4774 [container_security/security-container-content.adoc]",Assembly: security/container_security/security-container-content.adoc. Topic: Securing container content
security-auth-combined.adoc,Annotating image objects,"When working with Securing container content, I want to annotating image objects, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Secure the container software supply chain,,,Minimize the time required to complete annotating image objects; Minimize the likelihood of errors during annotating image objects,"security-auth-combined.adoc -> Annotating image objects, lines 4774-4803 [container_security/security-container-content.adoc]",Assembly: security/container_security/security-container-content.adoc. Topic: Securing container content
security-auth-combined.adoc,Controlling pod execution,"When working with Securing container content, I want to controlling pod execution, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Secure the container software supply chain,,,Minimize the time required to complete controlling pod execution; Minimize the likelihood of errors during controlling pod execution,"security-auth-combined.adoc -> Controlling pod execution, lines 4803-4818 [container_security/security-container-content.adoc]",Assembly: security/container_security/security-container-content.adoc. Topic: Securing container content
security-auth-combined.adoc,Integration reference,"When working with Securing container content, I want to integration reference, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Secure the container software supply chain,,,Minimize the time required to complete integration reference; Minimize the likelihood of errors during integration reference,"security-auth-combined.adoc -> Integration reference, lines 4818-4866 [container_security/security-container-content.adoc]",Assembly: security/container_security/security-container-content.adoc. Topic: Securing container content
security-auth-combined.adoc,Using container registries securely,"When working with Using container registries securely, I want to using container registries securely, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Secure the container software supply chain,,,Minimize the time required to complete using container registries securely; Minimize the likelihood of errors during using container registries securely,"security-auth-combined.adoc -> Using container registries securely, assembly container_security/security-registries.adoc",Book: security. Assembly: container_security/security-registries.adoc
security-auth-combined.adoc,Deploying containers,"When working with Deploying containers, I want to deploying containers, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Secure the container software supply chain,,,Minimize the time required to complete deploying containers; Minimize the likelihood of errors during deploying containers,"security-auth-combined.adoc -> Deploying containers, assembly container_security/security-deploy.adoc",Book: security. Assembly: container_security/security-deploy.adoc
security-auth-combined.adoc,Security context constraints (SCCs),"When working with Securing the container platform, I want to security context constraints (sccs), so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete security context constraints (sccs); Minimize the likelihood of errors during security context constraints (sccs),"security-auth-combined.adoc -> Security context constraints (SCCs), lines 7167-7182 [container_security/security-platform.adoc]",Assembly: security/container_security/security-platform.adoc. Topic: Securing the container platform
security-auth-combined.adoc,Granting roles to service accounts,"When working with Securing the container platform, I want to granting roles to service accounts, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete granting roles to service accounts; Minimize the likelihood of errors during granting roles to service accounts,"security-auth-combined.adoc -> Granting roles to service accounts, lines 7182-7205 [container_security/security-platform.adoc]",Assembly: security/container_security/security-platform.adoc. Topic: Securing the container platform
security-auth-combined.adoc,Controlling access using OAuth,"When working with Securing the container platform, I want to controlling access using oauth, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete controlling access using oauth; Minimize the likelihood of errors during controlling access using oauth,"security-auth-combined.adoc -> Controlling access using OAuth, lines 7208-7221 [container_security/security-platform.adoc]",Assembly: security/container_security/security-platform.adoc. Topic: Securing the container platform
security-auth-combined.adoc,API access control and management,"When working with Securing the container platform, I want to api access control and management, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete api access control and management; Minimize the likelihood of errors during api access control and management,"security-auth-combined.adoc -> API access control and management, lines 7221-7241 [container_security/security-platform.adoc]",Assembly: security/container_security/security-platform.adoc. Topic: Securing the container platform
security-auth-combined.adoc,Red Hat Single Sign-On,"When working with Securing the container platform, I want to red hat single sign-on, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete red hat single sign-on; Minimize the likelihood of errors during red hat single sign-on,"security-auth-combined.adoc -> Red Hat Single Sign-On, lines 7241-7253 [container_security/security-platform.adoc]",Assembly: security/container_security/security-platform.adoc. Topic: Securing the container platform
security-auth-combined.adoc,Secure self-service web console,"When working with Securing the container platform, I want to secure self-service web console, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete secure self-service web console; Minimize the likelihood of errors during secure self-service web console,"security-auth-combined.adoc -> Secure self-service web console, lines 7253-7275 [container_security/security-platform.adoc]",Assembly: security/container_security/security-platform.adoc. Topic: Securing the container platform
security-auth-combined.adoc,Configuring custom certificates,"When working with Securing the container platform, I want to configuring custom certificates, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete configuring custom certificates; Minimize the likelihood of errors during configuring custom certificates,"security-auth-combined.adoc -> Configuring custom certificates, lines 7286-7306 [container_security/security-platform.adoc]",Assembly: security/container_security/security-platform.adoc. Topic: Securing the container platform
security-auth-combined.adoc,Securing networks,"When working with Securing networks, I want to securing networks, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete securing networks; Minimize the likelihood of errors during securing networks,"security-auth-combined.adoc -> Securing networks, assembly container_security/security-network.adoc",Book: security. Assembly: container_security/security-network.adoc
security-auth-combined.adoc,Securing attached storage,"When working with Securing attached storage, I want to securing attached storage, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete securing attached storage; Minimize the likelihood of errors during securing attached storage,"security-auth-combined.adoc -> Securing attached storage, assembly container_security/security-storage.adoc",Book: security. Assembly: container_security/security-storage.adoc
security-auth-combined.adoc,Monitoring cluster events and logs,"When working with Monitoring cluster events and logs, I want to monitoring cluster events and logs, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete monitoring cluster events and logs; Minimize the likelihood of errors during monitoring cluster events and logs,"security-auth-combined.adoc -> Monitoring cluster events and logs, assembly container_security/security-monitoring.adoc",Book: security. Assembly: container_security/security-monitoring.adoc
security-auth-combined.adoc,Adding API server certificates,"When working with Adding API server certificates, I want to adding api server certificates, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete adding api server certificates; Minimize the likelihood of errors during adding api server certificates,"security-auth-combined.adoc -> Adding API server certificates, assembly certificates/api-server.adoc",Book: security. Assembly: certificates/api-server.adoc
security-auth-combined.adoc,Securing service traffic using service serving certificates,"When working with Securing service traffic using service serving certificates, I want to securing service traffic using service serving certificates, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete securing service traffic using service serving certificates; Minimize the likelihood of errors during securing service traffic using service serving certificates,"security-auth-combined.adoc -> Securing service traffic using service serving certificates, assembly certificates/service-serving-certificate.adoc",Book: security. Assembly: certificates/service-serving-certificate.adoc
security-auth-combined.adoc,Purpose,"When working with User-provided certificates for the API server, I want to purpose, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete purpose; Minimize the likelihood of errors during purpose,"security-auth-combined.adoc -> Purpose, lines 11832-11836 [certificate_types_descriptions/user-provided-certificates-for-api-server.adoc]",Assembly: security/certificate_types_descriptions/user-provided-certificates-for-api-server.adoc. Topic: User-provided certificates for the API server
security-auth-combined.adoc,Location,"When working with User-provided certificates for the API server, I want to location, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete location; Minimize the likelihood of errors during location,"security-auth-combined.adoc -> Location, lines 11836-11840 [certificate_types_descriptions/user-provided-certificates-for-api-server.adoc]",Assembly: security/certificate_types_descriptions/user-provided-certificates-for-api-server.adoc. Topic: User-provided certificates for the API server
security-auth-combined.adoc,Management,"When working with User-provided certificates for the API server, I want to management, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete management; Minimize the likelihood of errors during management,"security-auth-combined.adoc -> Management, lines 11840-11844 [certificate_types_descriptions/user-provided-certificates-for-api-server.adoc]",Assembly: security/certificate_types_descriptions/user-provided-certificates-for-api-server.adoc. Topic: User-provided certificates for the API server
security-auth-combined.adoc,Expiration,"When working with User-provided certificates for the API server, I want to expiration, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete expiration; Minimize the likelihood of errors during expiration,"security-auth-combined.adoc -> Expiration, lines 11844-11850 [certificate_types_descriptions/user-provided-certificates-for-api-server.adoc]",Assembly: security/certificate_types_descriptions/user-provided-certificates-for-api-server.adoc. Topic: User-provided certificates for the API server
security-auth-combined.adoc,Customization,"When working with User-provided certificates for the API server, I want to customization, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete customization; Minimize the likelihood of errors during customization,"security-auth-combined.adoc -> Customization, lines 11850-11856 [certificate_types_descriptions/user-provided-certificates-for-api-server.adoc]",Assembly: security/certificate_types_descriptions/user-provided-certificates-for-api-server.adoc. Topic: User-provided certificates for the API server
security-auth-combined.adoc,Purpose,"When working with Proxy certificates, I want to purpose, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete purpose; Minimize the likelihood of errors during purpose,"security-auth-combined.adoc -> Purpose, lines 12266-12294 [certificate_types_descriptions/proxy-certificates.adoc]",Assembly: security/certificate_types_descriptions/proxy-certificates.adoc. Topic: Proxy certificates
security-auth-combined.adoc,Managing proxy certificates during installation,"When working with Proxy certificates, I want to managing proxy certificates during installation, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete managing proxy certificates during installation; Minimize the likelihood of errors during managing proxy certificates during installation,"security-auth-combined.adoc -> Managing proxy certificates during installation, lines 12294-12318 [certificate_types_descriptions/proxy-certificates.adoc]",Assembly: security/certificate_types_descriptions/proxy-certificates.adoc. Topic: Proxy certificates
security-auth-combined.adoc,Location,"When working with Proxy certificates, I want to location, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete location; Minimize the likelihood of errors during location,"security-auth-combined.adoc -> Location, lines 12318-12326 [certificate_types_descriptions/proxy-certificates.adoc]",Assembly: security/certificate_types_descriptions/proxy-certificates.adoc. Topic: Proxy certificates
security-auth-combined.adoc,Expiration,"When working with Proxy certificates, I want to expiration, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete expiration; Minimize the likelihood of errors during expiration,"security-auth-combined.adoc -> Expiration, lines 12326-12337 [certificate_types_descriptions/proxy-certificates.adoc]",Assembly: security/certificate_types_descriptions/proxy-certificates.adoc. Topic: Proxy certificates
security-auth-combined.adoc,Services,"When working with Proxy certificates, I want to services, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete services; Minimize the likelihood of errors during services,"security-auth-combined.adoc -> Services, lines 12337-12343 [certificate_types_descriptions/proxy-certificates.adoc]",Assembly: security/certificate_types_descriptions/proxy-certificates.adoc. Topic: Proxy certificates
security-auth-combined.adoc,Management,"When working with Proxy certificates, I want to management, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete management; Minimize the likelihood of errors during management,"security-auth-combined.adoc -> Management, lines 12343-12347 [certificate_types_descriptions/proxy-certificates.adoc]",Assembly: security/certificate_types_descriptions/proxy-certificates.adoc. Topic: Proxy certificates
security-auth-combined.adoc,Customization,"When working with Proxy certificates, I want to customization, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete customization; Minimize the likelihood of errors during customization,"security-auth-combined.adoc -> Customization, lines 12347-12379 [certificate_types_descriptions/proxy-certificates.adoc]",Assembly: security/certificate_types_descriptions/proxy-certificates.adoc. Topic: Proxy certificates
security-auth-combined.adoc,Renewal,"When working with Proxy certificates, I want to renewal, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete renewal; Minimize the likelihood of errors during renewal,"security-auth-combined.adoc -> Renewal, lines 12379-12387 [certificate_types_descriptions/proxy-certificates.adoc]",Assembly: security/certificate_types_descriptions/proxy-certificates.adoc. Topic: Proxy certificates
security-auth-combined.adoc,Purpose,"When working with Service CA certificates, I want to purpose, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete purpose; Minimize the likelihood of errors during purpose,"security-auth-combined.adoc -> Purpose, lines 12794-12798 [certificate_types_descriptions/service-ca-certificates.adoc]",Assembly: security/certificate_types_descriptions/service-ca-certificates.adoc. Topic: Service CA certificates
security-auth-combined.adoc,Expiration,"When working with Service CA certificates, I want to expiration, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete expiration; Minimize the likelihood of errors during expiration,"security-auth-combined.adoc -> Expiration, lines 12798-12820 [certificate_types_descriptions/service-ca-certificates.adoc]",Assembly: security/certificate_types_descriptions/service-ca-certificates.adoc. Topic: Service CA certificates
security-auth-combined.adoc,Management,"When working with Service CA certificates, I want to management, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete management; Minimize the likelihood of errors during management,"security-auth-combined.adoc -> Management, lines 12820-12824 [certificate_types_descriptions/service-ca-certificates.adoc]",Assembly: security/certificate_types_descriptions/service-ca-certificates.adoc. Topic: Service CA certificates
security-auth-combined.adoc,Services,"When working with Service CA certificates, I want to services, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete services; Minimize the likelihood of errors during services,"security-auth-combined.adoc -> Services, lines 12824-12852 [certificate_types_descriptions/service-ca-certificates.adoc]",Assembly: security/certificate_types_descriptions/service-ca-certificates.adoc. Topic: Service CA certificates
security-auth-combined.adoc,Purpose,"When working with Node certificates, I want to purpose, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete purpose; Minimize the likelihood of errors during purpose,"security-auth-combined.adoc -> Purpose, lines 13263-13267 [certificate_types_descriptions/node-certificates.adoc]",Assembly: security/certificate_types_descriptions/node-certificates.adoc. Topic: Node certificates
security-auth-combined.adoc,Location,"When working with Node certificates, I want to location, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete location; Minimize the likelihood of errors during location,"security-auth-combined.adoc -> Location, lines 13267-13271 [certificate_types_descriptions/node-certificates.adoc]",Assembly: security/certificate_types_descriptions/node-certificates.adoc. Topic: Node certificates
security-auth-combined.adoc,Management,"When working with Node certificates, I want to management, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete management; Minimize the likelihood of errors during management,"security-auth-combined.adoc -> Management, lines 13271-13275 [certificate_types_descriptions/node-certificates.adoc]",Assembly: security/certificate_types_descriptions/node-certificates.adoc. Topic: Node certificates
security-auth-combined.adoc,Expiration,"When working with Node certificates, I want to expiration, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete expiration; Minimize the likelihood of errors during expiration,"security-auth-combined.adoc -> Expiration, lines 13275-13279 [certificate_types_descriptions/node-certificates.adoc]",Assembly: security/certificate_types_descriptions/node-certificates.adoc. Topic: Node certificates
security-auth-combined.adoc,Renewal,"When working with Node certificates, I want to renewal, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete renewal; Minimize the likelihood of errors during renewal,"security-auth-combined.adoc -> Renewal, lines 13279-13292 [certificate_types_descriptions/node-certificates.adoc]",Assembly: security/certificate_types_descriptions/node-certificates.adoc. Topic: Node certificates
security-auth-combined.adoc,Purpose,"When working with Bootstrap certificates, I want to purpose, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete purpose; Minimize the likelihood of errors during purpose,"security-auth-combined.adoc -> Purpose, lines 13702-13708 [certificate_types_descriptions/bootstrap-certificates.adoc]",Assembly: security/certificate_types_descriptions/bootstrap-certificates.adoc. Topic: Bootstrap certificates
security-auth-combined.adoc,Management,"When working with Bootstrap certificates, I want to management, so I can meet security and access requirements for the cluster.",core,Developer,Secure,user_story,Manage certificates and TLS for cluster services,,,Minimize the time required to complete management; Minimize the likelihood of errors during management,"security-auth-combined.adoc -> Management, lines 13708-13712 [certificate_types_descriptions/bootstrap-certificates.adoc]",Assembly: security/certificate_types_descriptions/bootstrap-certificates.adoc. Topic: Bootstrap certificates
